dataset,model,adapter,label_budget,mean_iou_mean,mean_iou_std,mean_iou_min,mean_iou_max,foreground_iou_mean,foreground_iou_std,foreground_iou_min,foreground_iou_max,pixel_accuracy_mean,pixel_accuracy_std,pixel_accuracy_min,pixel_accuracy_max,train_seconds_mean,train_seconds_std,train_seconds_min,train_seconds_max,wall_seconds_mean,wall_seconds_std,wall_seconds_min,wall_seconds_max,peak_accelerator_memory_gb_mean,peak_accelerator_memory_gb_std,peak_accelerator_memory_gb_min,peak_accelerator_memory_gb_max,total_trainable_params_mean,total_trainable_params_std,total_trainable_params_min,total_trainable_params_max,num_train_examples_mean,num_train_examples_std,num_train_examples_min,num_train_examples_max,size
ftw_africa,terramind_v1_base,lora,0.25,0.4570945104431277,0.010941260632539602,0.44476340978314005,0.46564105880212103,0.28459530652559933,0.004932084130346957,0.279988390156968,0.28979836727719005,0.8379749165291109,0.01834975410961408,0.818932416716686,0.855542959371248,57.538974324999494,0.7109252656613363,57.00948777699978,58.34699260299931,96.59322425566673,1.9155234192156059,95.35490218199993,98.79956795399994,0.9982767105102531,0.0,0.9982767105102531,0.9982767105102531,1003779.0,0.0,1003779,1003779,199.0,0.0,199,199,3
ftw_africa,terramind_v1_base,lora,1.0,0.48262048030920174,0.005774228236231951,0.47700996909286403,0.48854556518234804,0.3096200572422837,0.0017846013745886507,0.30833250436785203,0.31165719571531103,0.8603248330582227,0.011124288741997015,0.850934240883853,0.8726104113520401,193.89454117266664,0.6260285783286387,193.21846807699967,194.45417568500034,230.88811118099997,0.7230591040832907,230.10692482300055,231.53390109499924,0.9982767105102531,0.0,0.9982767105102531,0.9982767105102531,1003779.0,0.0,1003779,1003779,796.0,0.0,796,796,3
ftw_africa,terramind_v1_large,linear_probe,0.05,0.38282732817658904,0.12292618519158667,0.24142432439205302,0.46424050110045306,0.18865909694648,0.1606762054548785,0.003190753460569,0.28563156702985704,0.7956697522759097,0.06892278886979909,0.7183532788115241,0.8506672981692671,9.830963015333205,0.4693019318452992,9.309729014999903,10.21995696399972,56.36773620700054,0.3543304722563891,56.07825694100029,56.76287831500122,1.5163068771362298,0.0,1.51630687713623,1.51630687713623,3075.0,0.0,3075,3075,40.0,0.0,40,40,3
ftw_africa,terramind_v1_large,linear_probe,0.1,0.368845944276983,0.08684419730269813,0.269333753627994,0.42932153302838005,0.17948151171842905,0.12147331725598494,0.039616733700847,0.25858721570832405,0.7793443549294713,0.0496705098273474,0.7343776963910561,0.832660446991296,19.699746716000238,0.5613095433069232,19.123423573000764,20.244729488999837,66.0676741836666,1.4414012079928764,64.43005790899952,67.14396464099991,1.5163068771362298,0.0,1.51630687713623,1.51630687713623,3075.0,0.0,3075,3075,80.0,0.0,80,80,3
ftw_africa,terramind_v1_large,linear_probe,0.25,0.4142514388176774,0.027924395683901104,0.38479503523784203,0.44033798953767606,0.263235203958683,0.015501849629264186,0.24673789760239703,0.277499379073321,0.7784892472614041,0.03693880995777011,0.7396081088685471,0.8131175907863141,49.48603654700006,0.4393577109455748,49.15794457700031,49.98519735199989,91.33241981100007,1.549192493119975,90.38789001999976,93.12031952899997,1.5163068771362298,0.0,1.51630687713623,1.51630687713623,3075.0,0.0,3075,3075,199.0,0.0,199,199,3
ftw_africa,terramind_v1_large,linear_probe,1.0,0.475533707294223,0.006079809514822714,0.46853405648594604,0.47950016977165205,0.30014568713451434,0.003402842279463617,0.29637240963890205,0.302981598385206,0.8567572732217884,0.008263620365445838,0.84721697272659,0.8616836969162661,170.56842482633297,4.1804187698502355,167.8738487619994,175.38419177099968,212.1671310470001,4.02352994908976,209.6594528659998,216.8080715320002,1.5163068771362298,0.0,1.51630687713623,1.51630687713623,3075.0,0.0,3075,3075,796.0,0.0,796,796,3
ftw_africa,terramind_v1_large,lora,0.05,0.4183982783748137,0.04072532411641123,0.371719935685832,0.446677213604779,0.26380057692592035,0.02243098752850932,0.238063796584663,0.2791914271564,0.7852582439225687,0.0544725529505003,0.7228452318427371,0.8232264780912361,13.618975142334117,0.19383708400533478,13.472534352000366,13.83878727100091,63.62059212133378,0.8485047666729395,62.64285498100071,64.16407664500002,2.342073440551758,0.0,2.342073440551758,2.342073440551758,2644739.0,0.0,2644739,2644739,40.0,0.0,40,40,3
ftw_africa,terramind_v1_large,lora,0.1,0.41959609255345837,0.06711812654035593,0.34252912233918,0.46522566720209,0.26562102496720036,0.03563585648694991,0.22472065083028303,0.289980663935047,0.7858167876525607,0.09103541528485233,0.681282708395858,0.847671138768007,27.314193205000265,0.07685065663235403,27.225456940000186,27.359216990000277,74.46363755533336,0.011277776610632062,74.45062434800002,74.47056909599996,2.342073440551758,0.0,2.342073440551758,2.342073440551758,2644739.0,0.0,2644739,2644739,80.0,0.0,80,80,3
ftw_africa,terramind_v1_large,lora,0.25,0.4549940824748074,0.022323431006874696,0.429626429884754,0.47163988093928005,0.2875133582154127,0.013635330034402074,0.272076675872984,0.297915698984481,0.8306912608793514,0.028240897161066737,0.7985540309873951,0.8515501903886551,65.50723834200016,0.26866298421025303,65.29617846200017,65.80966951200026,110.36538037800013,0.5626677125887944,109.98560128100053,111.01180123199993,2.342073440551758,0.0,2.342073440551758,2.342073440551758,2644739.0,0.0,2644739,2644739,199.0,0.0,199,199,3
ftw_africa,terramind_v1_large,lora,1.0,0.44041689753487967,0.07813819479822334,0.35048708406462903,0.49171023007975706,0.2553923607851887,0.0996775162629732,0.140355832390805,0.316159486256952,0.8371164872198879,0.043878997007980605,0.7874269629726891,0.8705391140831331,231.8199023473338,2.035059604650865,229.99767666299977,234.01596178800082,278.1343005213333,3.285339321093126,275.56178854100017,281.8351146570003,2.342073440551758,0.0,2.342073440551758,2.342073440551758,2644739.0,0.0,2644739,2644739,796.0,0.0,796,796,3
